CATEGORY,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AUTOMOBILE ASSEMBLER,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AUTOMOBILE ASSEMBLER,AL-Ghazi Tractors,388.58,386.11,427.44,386.11,427.44,38.86,"63,412"
AUTOMOBILE ASSEMBLER,Atlas Honda Ltd,"1,149.99",1157.7,1165.0,1144.0,1144.98,-4.16,"6,899"
AUTOMOBILE ASSEMBLER,Dewan Motors,37.25,37.48,37.48,36.2,36.29,-0.91,"1,878,172"
AUTOMOBILE ASSEMBLER,Ghandhara Automobile,478.30,478.3,479.8,471.1,472.99,-5.83,"331,180"
AUTOMOBILE ASSEMBLER,Ghandhara Ind.,695.78,695.0,699.0,685.0,685.99,-9.52,"195,793"
AUTOMOBILE ASSEMBLER,Hinopak Motor,368.13,384.0,398.0,375.0,390.0,17.61,"64,667"
AUTOMOBILE ASSEMBLER,Honda Atlas Cars,301.33,304.99,307.5,294.01,298.47,-2.36,"1,128,536"
AUTOMOBILE ASSEMBLER,Indus Motor Co.XD,"1,938.22",1949.5,1949.5,1903.11,1934.0,-12.08,"31,477"
AUTOMOBILE ASSEMBLER,Millat Tractors,580.34,582.0,586.6,579.0,579.5,0.45,"88,038"
AUTOMOBILE ASSEMBLER,Sazgar Engineering,"1,315.57",1303.07,1316.44,1295.0,1301.0,-15.75,"113,015"
AUTOMOBILE PARTS & ACCESSORIES,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AUTOMOBILE PARTS & ACCESSORIES,Agriautos Ind.,110.64,111.05,113.99,110.0,111.0,0.05,"34,705"
AUTOMOBILE PARTS & ACCESSORIES,Atlas Battery,280.13,280.99,286.0,277.0,277.01,-2.46,"92,910"
AUTOMOBILE PARTS & ACCESSORIES,Bal.Wheels,132.16,135.02,135.02,133.0,134.0,0.86,"2,501"
AUTOMOBILE PARTS & ACCESSORIES,Bela Automotive,135.47,136.01,140.0,122.02,132.0,2.74,"5,712"
AUTOMOBILE PARTS & ACCESSORIES,Dewan Auto Engg,29.09,29.64,30.48,28.22,28.8,-0.24,"2,097"
AUTOMOBILE PARTS & ACCESSORIES,Exide (PAK),855.02,858.98,858.98,818.0,829.95,-28.77,"16,767"
AUTOMOBILE PARTS & ACCESSORIES,Ghandhara Tyre,39.56,39.26,39.44,37.36,37.99,-1.75,"378,369"
AUTOMOBILE PARTS & ACCESSORIES,Loads Limited,14.32,14.49,14.85,14.38,14.46,0.2,"2,232,821"
AUTOMOBILE PARTS & ACCESSORIES,Panther Tyres Ltd.,38.70,38.51,39.2,38.5,38.5,-0.2,"177,284"
AUTOMOBILE PARTS & ACCESSORIES,Thal Limited,381.22,380.0,385.0,360.0,367.21,-9.31,"28,571"
AUTOMOBILE PARTS & ACCESSORIES,Treet Battery Ltd.,11.37,11.39,11.6,11.37,11.56,0.1,"1,109,491"
CABLE & ELECTRICAL GOODS,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
CABLE & ELECTRICAL GOODS,EMCO Industries,40.53,42.0,44.58,41.0,41.75,1.22,"27,510"
CABLE & ELECTRICAL GOODS,Fast Cables Ltd.,21.96,22.08,24.16,21.97,24.16,2.2,"11,096,341"
CABLE & ELECTRICAL GOODS,Pak Elektron,46.96,47.0,47.65,45.06,45.42,-1.62,"18,192,785"
CABLE & ELECTRICAL GOODS,Pakistan Cables-,150.90,151.0,153.99,144.5,150.99,0.09,"68,666"
CABLE & ELECTRICAL GOODS,Siemens Pak.,"1,510.00",1500.5,1510.0,1500.5,1510.0,-8.62,46
CABLE & ELECTRICAL GOODS,Waves Corp Ltd.,7.38,7.4,7.66,7.34,7.53,0.16,"4,113,295"
CABLE & ELECTRICAL GOODS,Waves Home App,9.25,9.45,9.45,9.08,9.1,-0.11,"1,795,471"
CEMENT,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
CEMENT,Attock Cement,306.43,314.0,326.26,312.0,321.0,15.42,"1,077,444"
CEMENT,Bestway Cement,404.52,404.52,410.0,403.0,403.0,-0.68,"10,626"
CEMENT,Cherat Cement,271.40,271.5,276.5,265.0,269.0,-4.24,"414,453"
CEMENT,D.G.K.Cement,151.30,151.5,151.5,146.25,146.74,-3.97,"3,581,156"
CEMENT,Dadabhoy Cement,4.78,4.71,4.86,4.7,4.79,0.06,"21,088"
CEMENT,Dandot Cement,13.98,14.74,14.74,13.5,13.95,-0.35,"30,558"
CEMENT,Dewan Cement,10.48,10.51,10.61,10.3,10.43,-0.11,"2,397,038"
CEMENT,Fauji Cement,48.54,48.85,49.09,47.8,47.98,-0.6,"5,932,968"
CEMENT,Fecto Cement,73.94,74.49,74.85,72.01,72.25,-1.63,"21,792"
CEMENT,Flying Cement,49.46,52.08,53.6,49.15,51.02,1.21,"2,589,075"
CEMENT,Gharibwal CementXD,41.94,42.0,42.1,40.75,41.0,-0.87,"482,273"
CEMENT,Kohat Cement,387.19,389.9,393.0,384.0,385.04,-0.87,"85,900"
CEMENT,Lucky Cement,347.49,349.0,349.0,341.5,342.0,-5.12,"1,051,595"
CEMENT,Maple Leaf,76.36,76.25,76.38,74.5,74.7,-1.58,"4,428,001"
CEMENT,Pioneer Cement,219.32,219.32,221.0,216.07,217.0,-1.87,"161,635"
CEMENT,Power Cem(Pref),16.14,17.75,17.75,17.75,17.75,1.61,"6,325"
CEMENT,Power Cement,15.09,15.2,15.2,14.75,14.9,-0.24,"4,935,861"
CEMENT,Safe Mix Con.Ltd,17.01,16.62,17.4,16.62,17.3,0.29,"14,687"
CEMENT,Thatta Cement,185.13,184.99,193.75,182.5,189.12,5.5,"2,740,949"
CHEMICAL,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
CHEMICAL,Archroma Pak,417.79,417.0,419.0,405.04,410.0,-7.79,"2,077"
CHEMICAL,Bawany Air Pro(DEF.),40.15,44.17,44.17,44.17,44.17,4.02,"7,528"
CHEMICAL,Berger Paints,94.15,94.5,99.99,94.31,97.5,3.24,"130,777"
CHEMICAL,Biafo IndustriesXD,175.87,175.87,191.0,175.0,181.0,5.4,"48,544"
CHEMICAL,Buxly Paints,110.80,115.99,117.0,112.0,115.0,1.58,"3,292"
CHEMICAL,Data Agro,83.98,91.0,91.0,76.66,88.77,2.47,"6,246"
CHEMICAL,Descon Oxychem,26.34,26.25,28.97,26.25,28.97,2.63,"4,025,795"
CHEMICAL,Dynea Pakistan,225.20,228.95,228.95,218.11,224.5,-0.88,"6,393"
CHEMICAL,Engro Poly (Pref),12.00,12.0,12.08,12.0,12.0,,"12,600"
CHEMICAL,Engro Polymer,31.64,31.51,33.6,31.05,33.0,1.5,"2,592,703"
CHEMICAL,Ghani Chemical,18.66,18.79,20.0,18.5,19.5,0.78,"9,725,582"
CHEMICAL,Ghani Chemworld,9.14,9.96,10.14,9.16,9.68,0.48,"10,835,084"
CHEMICAL,Ghani Glo Hol,13.78,13.93,14.09,13.55,13.79,-0.06,"2,289,342"
CHEMICAL,Ittehad Chemicals,71.53,72.0,75.4,72.0,73.0,1.55,"8,274"
CHEMICAL,Leiner Pak Gelat,107.27,109.5,109.5,105.55,108.45,-1.46,"7,354"
CHEMICAL,Lotte Chemical,19.69,19.65,21.66,19.6,21.0,1.29,"28,644,102"
CHEMICAL,Lucky Core Ind.,"1,570.64",1570.64,1580.0,1560.2,1577.9,5.52,"5,737"
CHEMICAL,Nimir Ind.ChemXD,152.85,154.4,154.4,149.0,153.0,0.15,"7,828"
CHEMICAL,Nimir Resins,34.36,34.99,36.68,34.9,35.85,1.41,"1,637,476"
CHEMICAL,Pak Oxygen Ltd.,153.00,155.1,158.0,150.1,154.88,-1.11,"3,793"
CHEMICAL,Pak.P.V.C.,7.40,8.39,8.4,7.5,8.4,1.0,"5,202"
CHEMICAL,Sardar Chemical,33.39,32.5,32.5,32.3,32.3,-1.07,"2,012"
CHEMICAL,Sitara Chemical,444.00,431.0,450.0,430.0,440.0,-4.0,"32,905"
CHEMICAL,Sitara Peroxide,12.48,12.03,13.73,12.03,13.73,1.25,"512,085"
CHEMICAL,Wah-Noble,230.00,232.8,238.99,225.01,230.0,-1.72,256
CLOSE - END MUTUAL FUND,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
CLOSE - END MUTUAL FUND,HBL Growth Fund,9.50,9.55,9.68,9.3,9.51,0.01,"129,476"
CLOSE - END MUTUAL FUND,HBL Invest Fund,3.38,3.3,3.49,3.25,3.43,,"831,370"
CLOSE - END MUTUAL FUND,Tri-Star Mutual,8.35,8.9,8.9,8.25,8.39,,"1,014"
COMMERCIAL BANKS,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
COMMERCIAL BANKS,Allied Bank LtdXD,127.84,127.05,128.89,127.05,128.49,0.19,"26,538"
COMMERCIAL BANKS,Askari Bank,43.53,43.99,45.87,43.05,45.1,1.86,"2,611,769"
COMMERCIAL BANKS,B.O.Punjab,10.06,10.06,10.15,9.93,9.99,-0.09,"8,803,557"
COMMERCIAL BANKS,Bank Al-Falah,73.41,74.4,75.0,73.4,74.88,1.47,"1,200,566"
COMMERCIAL BANKS,Bank AL-HabibXD,137.94,139.0,139.75,137.1,139.4,1.39,"1,452,777"
COMMERCIAL BANKS,Bank Makramah,3.50,3.48,3.54,3.41,3.41,-0.05,"935,428"
COMMERCIAL BANKS,Bank Of Khyber,14.77,14.98,15.0,14.5,14.7,-0.16,"9,626"
COMMERCIAL BANKS,Bankislami Pak,20.16,20.16,20.65,19.96,20.18,-0.08,"2,102,113"
COMMERCIAL BANKS,Faysal BankXD,48.47,48.78,48.78,48.0,48.68,0.06,"1,447,074"
COMMERCIAL BANKS,Habib Bank,157.50,156.03,158.5,156.03,157.99,0.41,"1,867,791"
COMMERCIAL BANKS,Habib Metropolitan,88.50,87.5,93.99,87.5,90.0,0.72,"115,147"
COMMERCIAL BANKS,JS Bank Ltd,8.28,8.5,8.5,8.05,8.24,-0.08,"424,359"
COMMERCIAL BANKS,MCB Bank LtdXD,283.94,285.0,288.27,284.01,285.0,1.14,"487,883"
COMMERCIAL BANKS,Meezan Bank Ltd,285.60,286.49,288.33,285.0,286.4,1.02,"1,555,553"
COMMERCIAL BANKS,National BankXD,88.47,89.0,89.7,87.72,88.0,-0.49,"2,311,053"
COMMERCIAL BANKS,Samba Bank,8.98,8.99,8.99,8.52,8.98,-0.39,820
COMMERCIAL BANKS,Soneri Bank Ltd,16.23,16.25,16.51,16.2,16.3,0.07,"360,227"
COMMERCIAL BANKS,St.Chart.Bank,59.94,59.0,60.99,59.0,60.5,0.18,"12,267"
COMMERCIAL BANKS,United Bank,515.46,518.0,535.5,511.0,518.0,3.33,"1,468,869"
ENGINEERING,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
ENGINEERING,Agha Steel Ind.,7.66,7.6,8.5,7.6,8.14,0.42,"3,284,164"
ENGINEERING,Aisha Steel Mill,10.46,10.52,11.4,10.37,11.11,0.61,"9,205,708"
